,m2,isitma,celly_buildingAge,celly_floortype,location,price,ad_duration,boğaza_bakan,metroya_yakın,teras,eşyalı,bahçeli,bedroom,salon
0,95.0,Kat Kaloriferi,25,1. Kat,"Sarıyer,Baltalimanı Mahallesi",4250,8,0,0,0,1,0,2,1
1,110.0,Kat Kaloriferi,20,Ara Kat,"Sarıyer,Ayazağa Mahallesi",2700,23,0,0,0,1,0,2,1
2,133.51399253731344,Kat Kaloriferi,20,Çatı Katı,"Sarıyer,Tarabya Mahallesi",5500,0,0,0,1,0,0,4,1
3,80.0,Klima,20,Ara Kat,"Sarıyer,Merkez Mahallesi",2250,6,0,0,0,0,0,1,1
4,80.0,Klima,14,Ara Kat,"Sarıyer,Ayazağa Mahallesi",1600,2,0,0,0,1,0,1,1
5,170.0,Klima,10,Ara Kat,"Sarıyer,Maslak Mahallesi",8500,0,0,0,0,0,0,3,1
6,170.0,Klima,10,1. Kat,"Sarıyer,Maslak Mahallesi",8500,3,0,0,1,0,1,3,1
7,198.0,Klima,2,Ara Kat,"Sarıyer,Huzur Mahallesi",7000,2,0,0,0,0,0,3,1
8,85.0,Klima,3,Ara Kat,"Sarıyer,Maslak Mahallesi",5500,0,0,0,0,1,0,1,1
9,100.0,Klima,4,1. Kat,"Sarıyer,Maslak Mahallesi",5500,5,0,0,0,1,0,1,1
10,170.0,Klima,10,Ara Kat,"Sarıyer,Maslak Mahallesi",7500,2,0,0,0,0,0,3,1
11,55.0,Klima,10,Çatı Katı,"Sarıyer,Maslak Mahallesi",14000,0,0,0,0,1,0,4,1
12,54.0,Klima,2,Ara Kat,"Sarıyer,Ayazağa Mahallesi",3250,2,0,0,0,1,0,1,0
13,94.0,Klima,3,Ara Kat,"Sarıyer,Maslak Mahallesi",5000,2,0,0,0,1,0,1,1
14,85.0,Klima,10,Ara Kat,"Sarıyer,Maslak Mahallesi",5500,2,0,0,0,1,0,1,1
15,188.0,Klima,3,Ara Kat,"Sarıyer,Maslak Mahallesi",7000,0,0,0,0,0,0,3,1
16,198.0,Klima,3,Ara Kat,"Sarıyer,Maslak Mahallesi",8000,2,0,0,0,0,0,3,1
17,55.0,Klima,10,Çatı Katı,"Sarıyer,Maslak Mahallesi",10000,0,0,0,0,0,0,4,1
18,170.0,Klima,10,Ara Kat,"Sarıyer,Maslak Mahallesi",8000,0,0,0,0,0,0,3,1
19,37.0,Klima,4,Ara Kat,"Sarıyer,Maslak Mahallesi",20000,9,0,0,0,1,0,4,1
20,60.0,Klima,25,1. Kat,"Sarıyer,Kireçburnu Mahallesi",2000,0,0,0,0,1,1,1,1
21,45.0,Klima,4,Ara Kat,"Sarıyer,Zekeriyaköy Mahallesi",2750,43,0,0,0,1,0,1,1
23,450.0,Kombi,20,Ara Kat,"Sarıyer,Yeniköy Mahallesi",25000,0,0,0,0,1,0,5,2
24,120.0,Kombi,20,Ara Kat,"Sarıyer,Tarabya Mahallesi",8500,0,1,0,0,0,0,3,1
25,183.0,Kombi,5,Çatı Katı,"Sarıyer,Maslak Mahallesi",11390,0,0,0,0,1,0,2,1
26,330.0,Kombi,13,Çatı Katı,"Sarıyer,İstinye Mahallesi",20000,0,0,0,1,0,0,5,1
27,114.0,Kombi,5,Ara Kat,"Sarıyer,Maslak Mahallesi",13000,0,0,0,0,1,0,2,1
28,120.0,Kombi,25,Ara Kat,"Sarıyer,Cumhuriyet Mahallesi",1800,0,0,1,0,0,0,2,1
29,40.0,Kombi,6,Ara Kat,"Sarıyer,Tarabya Mahallesi",19500,0,1,0,1,0,0,4,1
30,84.0,Kombi,19,Ara Kat,"Sarıyer,Zekeriyaköy Mahallesi",2500,0,0,0,0,0,0,2,1
31,90.0,Kombi,20,1. Kat,"Sarıyer,İstinye Mahallesi",2700,0,0,0,0,0,0,2,1
32,120.0,Kombi,30,Bodrum,"Sarıyer,Ferahevler Mahallesi",2250,0,0,0,0,0,1,2,1
33,60.0,Kombi,4,1. Kat,"Sarıyer,Ayazağa Mahallesi",2450,0,0,0,0,1,1,1,1
34,110.0,Kombi,16,Ara Kat,"Sarıyer,Ayazağa Mahallesi",2350,0,0,0,0,0,0,3,1
35,140.0,Kombi,8,Ara Kat,"Sarıyer,Çayırbaşı Mahallesi",3500,0,0,1,1,0,0,4,1
36,100.0,Kombi,20,1. Kat,"Sarıyer,Tarabya Mahallesi",2200,0,0,0,0,0,0,2,1
37,140.0,Kombi,45,1. Kat,"Sarıyer,Rumeli Hisarı Mahallesi",10000,0,0,0,0,0,0,4,1
38,160.0,Kombi,30,1. Kat,"Sarıyer,Rumeli Hisarı Mahallesi",6000,0,1,0,1,0,0,4,1
39,70.0,Kombi,7,1. Kat,"Sarıyer,Poligon Mahallesi",17000,0,0,0,1,0,1,4,1
40,70.0,Kombi,50,1. Kat,"Sarıyer,Büyükdere Mahallesi",1300,0,0,0,0,0,1,2,1
41,104.0,Kombi,5,Çatı Katı,"Sarıyer,Maslak Mahallesi",8990,0,0,0,0,1,0,1,1
42,140.0,Kombi,15,Ara Kat,"Sarıyer,Tarabya Mahallesi",7500,0,1,1,0,0,0,3,1
43,133.51399253731344,Kombi,11,Ara Kat,"Sarıyer,İstinye Mahallesi",23500,0,0,0,0,1,0,3,1
44,140.0,Kombi,40,Ara Kat,"Sarıyer,Rumeli Hisarı Mahallesi",6500,0,0,0,1,0,0,4,1
