,m2,celly_houseRoomCount,description,isitma,celly_buildingAge,celly_floortype,location,days,price
0,95,2 + 1, baltalimanında 2+1 eşyalı daire ,Kat Kaloriferi,25 Yaşında, 1. Kat,"Sarıyer,Baltalimanı Mahallesi",5 Temmuz 2020,"4,250 TL"
1,110,2 + 1, sahibinden full eşyalı daire,Kat Kaloriferi,20 Yaşında,boş,"Sarıyer,Ayazağa Mahallesi",20 Haziran 2020,"2,700 TL"
2,0,4 + 1, tarabya sanatcılar sitesinde ferah teraslı 4+1 çatı dublex,Kat Kaloriferi,20 Yaşında, Çatı Katı,"Sarıyer,Tarabya Mahallesi",13 Temmuz 2020,"5,500 TL"
3,80,1 + 1, sariyer merkezde caddede ofise kuaföre vs.uygun kiralık ofis,Klima,20 Yaşında, 2. Kat,"Sarıyer,Merkez Mahallesi",7 Temmuz 2020,"2,250 TL"
4,80,1 + 1, sarıyer ayazağa meydan 1+1 eşyalı kiralık daire 7o m2,Klima,14 Yaşında, 6. Kat,"Sarıyer,Ayazağa Mahallesi",11 Temmuz 2020,"1,600 TL"
5,170,3 + 1, maslak mashattan havuz cephe kiralık 3+1 daire,Klima,10 Yaşında, 20. Kat,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"8,500 TL"
6,170,3 + 1, maslak mashattan bahçe dubleks kiralık 3+1 daire,Klima,10 Yaşında, Bahçe Katı,"Sarıyer,Maslak Mahallesi",10 Temmuz 2020,"8,500 TL"
7,198,3 + 1, skyland istanbul 3+1 kiralık daire,Klima,2 Yaşında, 13. Kat,"Sarıyer,Huzur Mahallesi",11 Temmuz 2020,"7,000 TL"
8,85,1 + 1, maslak ağaoğlu 1453 eşyalı kiralık 1+1 daire,Klima,3 Yaşında, 2. Kat,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"5,500 TL"
9,100,1 + 1, maslak 1453'de kiralık 1+1 lüks eşyalı kiralık daire,Klima,4 Yaşında, 1. Kat,"Sarıyer,Maslak Mahallesi",8 Temmuz 2020,"5,500 TL"
10,170,3 + 1, maslak mashattan kiralık alçak kat 3+1 daire,Klima,10 Yaşında, 8. Kat,"Sarıyer,Maslak Mahallesi",11 Temmuz 2020,"7,500 TL"
11,55,4 + 1, maslak mashattan yüksek kat eşyalı 4+1 kiralık daire,Klima,10 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"14,000 TL"
12,54,Stüdyo, skyland istanbul eşyalı 1+0 kiralık daire,Klima,2 Yaşında, 2. Kat,"Sarıyer,Ayazağa Mahallesi",11 Temmuz 2020,"3,250 TL"
13,94,1 + 1, maslak ağaoğlu 1453 eşyalı 1+1 kiralık daire,Klima,3 Yaşında, 4. Kat,"Sarıyer,Maslak Mahallesi",11 Temmuz 2020,"5,000 TL"
14,85,1 + 1, maslak mashattan kiralık eşyalı 1+1 daire,Klima,10 Yaşında, 10. Kat,"Sarıyer,Maslak Mahallesi",11 Temmuz 2020,"5,500 TL"
15,188,3 + 1, maslak ağaoğlu 1453 3+1 kiralık daire,Klima,3 Yaşında, 14. Kat,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"7,000 TL"
16,198,3 + 1, maslak ağaoğlu 1453 yüksek kat 3+1 kiralık daire,Klima,3 Yaşında, 18. Kat,"Sarıyer,Maslak Mahallesi",11 Temmuz 2020,"8,000 TL"
17,55,4 + 1, maslak mashattan yüksek kat kiralık 4+1 daire,Klima,10 Yaşında, 21 ve üzeri,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"10,000 TL"
18,170,3 + 1, maslak mashattan kiralık 3+1 daire,Klima,10 Yaşında, 20. Kat,"Sarıyer,Maslak Mahallesi",13 Temmuz 2020,"8,000 TL"
19,37,4 + 1, sarıyer maslak ağaoğlu 1453 eşyalı 4+1 kiralık daire,Klima,4 Yaşında, 10. Kat,"Sarıyer,Maslak Mahallesi",4 Temmuz 2020,"20,000 TL"
20,60,1 + 1, kireçburnu'nda eşyalı kiralık bahçe katı,Klima,25 Yaşında, Bahçe Katı,"Sarıyer,Kireçburnu Mahallesi",13 Temmuz 2020,"2,000 TL"
21,45,1 + 1, koc unıversıtesıne yakın kıralık 1+1 esyalı daıre,Klima,4 Yaşında,boş,"Sarıyer,Zekeriyaköy Mahallesi",31 Mayıs 2020,"2,750 TL"
